,number,contractName,name,address,position,banking,bonus,status,lastUpdate,connected,overflow,shape,totalStands,mainStands,overflowStands
0,53,luxembourg,#00053-LUDWIG VAN BEETHOVEN,- LUDWIG VAN BEETHOVEN - RUE LUDWIG VAN BEETHOVEN ( DEVANT N° 45 ),"{'latitude': 49.59, 'longitude': 6.1172}",False,False,OPEN,2022-04-19T08:42:57Z,True,False,,"{'availabilities': {'bikes': 7, 'stands': 13, 'mechanicalBikes': 0, 'electricalBikes': 7, 'electricalInternalBatteryBikes': 7, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 7, 'stands': 13, 'mechanicalBikes': 0, 'electricalBikes': 7, 'electricalInternalBatteryBikes': 7, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",
1,24,luxembourg,#00024-WEICKER,WEICKER - AVENUE JF KENNEDY / RUE ALPHONSE WEICKER,"{'latitude': 49.631952, 'longitude': 6.17048}",False,False,OPEN,2022-04-19T08:43:17Z,True,False,,"{'availabilities': {'bikes': 4, 'stands': 16, 'mechanicalBikes': 0, 'electricalBikes': 4, 'electricalInternalBatteryBikes': 4, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 4, 'stands': 16, 'mechanicalBikes': 0, 'electricalBikes': 4, 'electricalInternalBatteryBikes': 4, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",
2,102,luxembourg,#00102-FENTANGE HIEHL,"FENTANGE ""Hiehl"" - RUE DE BETTEMBOURG DEVANT N°75","{'latitude': 49.567771, 'longitude': 6.152463}",False,False,OPEN,2022-04-19T08:43:47Z,True,False,,"{'availabilities': {'bikes': 11, 'stands': 1, 'mechanicalBikes': 0, 'electricalBikes': 11, 'electricalInternalBatteryBikes': 11, 'electricalRemovableBatteryBikes': 0}, 'capacity': 14}","{'availabilities': {'bikes': 11, 'stands': 1, 'mechanicalBikes': 0, 'electricalBikes': 11, 'electricalInternalBatteryBikes': 11, 'electricalRemovableBatteryBikes': 0}, 'capacity': 14}",
3,88,luxembourg,#00088-SERRA,SERRA - AVENUE J.F. KENNEDY / CIRCUIT DE LA FOIRE (Arrêt Luxexpo),"{'latitude': 49.635423, 'longitude': 6.176061}",True,False,OPEN,2022-04-19T08:44:24Z,True,False,,"{'availabilities': {'bikes': 2, 'stands': 28, 'mechanicalBikes': 0, 'electricalBikes': 2, 'electricalInternalBatteryBikes': 2, 'electricalRemovableBatteryBikes': 0}, 'capacity': 30}","{'availabilities': {'bikes': 2, 'stands': 28, 'mechanicalBikes': 0, 'electricalBikes': 2, 'electricalInternalBatteryBikes': 2, 'electricalRemovableBatteryBikes': 0}, 'capacity': 30}",
4,6,luxembourg,#00006-AL BRÉCK,AL BRÉCK - VIADUC / BOULEVARD DE LA PETRUSSE,"{'latitude': 49.60481, 'longitude': 6.133404}",False,False,OPEN,2022-04-19T08:43:20Z,True,False,,"{'availabilities': {'bikes': 0, 'stands': 14, 'mechanicalBikes': 0, 'electricalBikes': 1, 'electricalInternalBatteryBikes': 1, 'electricalRemovableBatteryBikes': 0}, 'capacity': 15}","{'availabilities': {'bikes': 0, 'stands': 14, 'mechanicalBikes': 0, 'electricalBikes': 1, 'electricalInternalBatteryBikes': 1, 'electricalRemovableBatteryBikes': 0}, 'capacity': 15}",
5,97,luxembourg,#00097-HELFENT (PARKING),Rue de Luxembourg/Route de Longwy,"{'latitude': 49.603644, 'longitude': 6.077783}",False,False,OPEN,2022-04-19T08:47:13Z,True,False,,"{'availabilities': {'bikes': 14, 'stands': 1, 'mechanicalBikes': 0, 'electricalBikes': 14, 'electricalInternalBatteryBikes': 14, 'electricalRemovableBatteryBikes': 0}, 'capacity': 15}","{'availabilities': {'bikes': 14, 'stands': 1, 'mechanicalBikes': 0, 'electricalBikes': 14, 'electricalInternalBatteryBikes': 14, 'electricalRemovableBatteryBikes': 0}, 'capacity': 15}",
6,47,luxembourg,#00047-LEOPOLD GOEBEL,LEOPOLD GOEBEL - ALLEE LEOPOLD GOEBEL ( DEVANT N° 109 ),"{'latitude': 49.6122, 'longitude': 6.1072}",False,False,OPEN,2022-04-19T08:42:19Z,True,False,,"{'availabilities': {'bikes': 0, 'stands': 20, 'mechanicalBikes': 0, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 0, 'stands': 20, 'mechanicalBikes': 0, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",
7,89,luxembourg,#00089-PLACE THORN,"Place Thorn/Bd Marcel Cahen ,50m avant rue Béatrix","{'latitude': 49.60361, 'longitude': 6.10278}",False,False,OPEN,2022-04-19T08:44:37Z,True,False,,"{'availabilities': {'bikes': 6, 'stands': 14, 'mechanicalBikes': 0, 'electricalBikes': 6, 'electricalInternalBatteryBikes': 6, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 6, 'stands': 14, 'mechanicalBikes': 0, 'electricalBikes': 6, 'electricalInternalBatteryBikes': 6, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",
8,33,luxembourg,#00033-K. ADENAUER,K. ADENAUER - BOULEVARD KONRAD ADENAUER ( DEVANT BEI ),"{'latitude': 49.620586, 'longitude': 6.138998}",False,False,OPEN,2022-04-19T08:46:14Z,True,False,,"{'availabilities': {'bikes': 5, 'stands': 10, 'mechanicalBikes': 0, 'electricalBikes': 5, 'electricalInternalBatteryBikes': 5, 'electricalRemovableBatteryBikes': 0}, 'capacity': 15}","{'availabilities': {'bikes': 5, 'stands': 10, 'mechanicalBikes': 0, 'electricalBikes': 5, 'electricalInternalBatteryBikes': 5, 'electricalRemovableBatteryBikes': 0}, 'capacity': 15}",
9,85,luxembourg,#00085-EINSTEIN,Rue Albert Einstein/Bd de Kockelscheuer,"{'latitude': 49.5842, 'longitude': 6.1249}",False,False,OPEN,2022-04-19T08:46:56Z,True,False,,"{'availabilities': {'bikes': 19, 'stands': 0, 'mechanicalBikes': 0, 'electricalBikes': 19, 'electricalInternalBatteryBikes': 19, 'electricalRemovableBatteryBikes': 0}, 'capacity': 19}","{'availabilities': {'bikes': 19, 'stands': 0, 'mechanicalBikes': 0, 'electricalBikes': 19, 'electricalInternalBatteryBikes': 19, 'electricalRemovableBatteryBikes': 0}, 'capacity': 19}",
